Term [en-US],Term [ar],Term [zh-CN],Term [zh-TW],Term [nl-NL],Term [fr],Term [de-DE],Term [el-GR],Term [ha-NG],Term [hi-IN],Term [hu-HU],Term [id-ID],Term [it-IT],Term [ja-JP],Term [ko-KR],Term [fa-AF],Term [ms-MY],Term [pcm],Term [pl-PL],Term [pt-BR],Term [ro-RO],Term [ru-RU],Term [es-419],Term [tl],Term [th-TH],Term [tr-TR],Term [uk-UA],Term [vi-VN],Term [en-GB]
layer 1,الطبقة 1,一层公链,鏈上擴容,Laag 1,Couche 1,Layer 1,Επίπεδο 1,Tsari na Farko na blockchain cibiyar sadarwa,लेयर 1,1. réteg,Layer 1,Layer 1,レイヤー 1,레이어 1,لایه 1,Lapisan 1,Ground floor layer,Warstwa 1 ,Camada 1,Layer 1,Слой 1,capa 1,Layer 1,เลเยอร์ 1,Katman 1,Рівень 1,Lớp 1,
layer 2,الطبقة 2,二层公链,鏈下擴容,Laag 2,Couche 2,Layer 2,Επίπεδο 2,Tsari na Biyu na blockchain cibiyar sadarwa,लेयर 2,2. réteg,Layer 2,Layer 2,レイヤー 2,레이어 2,لایه 2,Lapisan 2,Extra layer wey dem build on top di main network,Warstwa 2 ,Camada 2,Layer 2,Слой 2,capa 2,Layer 2,เลเยอร์ 2,Katman 2,Рівень 2,Lớp 2,
Ledger,Ledger,Ledger,Ledger,Ledger,Ledger,Ledger,Ledger,Ledger,Ledger,Ledger,Ledger,Ledger,Ledger,Ledger,Ledger,Ledger,Ledger,Ledger,Ledger,Ledger,Ledger,Ledger,Ledger,Ledger,Ledger,Ledger,Ledger,
Ledger Live,Ledger Live,Ledger Live,Ledger Live,Ledger Live,Ledger Live,Ledger Live,Ledger Live,Ledger Live,Ledger Live,Ledger Live,Ledger Live,Ledger Live,Ledger Live,Ledger Live,Ledger Live,Ledger Live,Ledger Live,Ledger Live,Ledger Live,Ledger Live,Ledger Live,Ledger Live,Ledger Live,Ledger Live,Ledger Live,Ledger Live,Ledger Live,
Ledger Live App,تطبيق Ledger Live,Ledger Live App,Ledger Live App,Ledger Live App,Ledger Live App,Ledger Live App,Ledger Live App,Ledger Live App,Ledger Live ऐप,Ledger Live App,Aplikasi Ledger Live,Ledger Live App,Ledger Liveアプリ,렛저 라이브 앱,برنامه Ledger Live,Aplikasi Ledger Live,Ledger Live App,Aplikacja Ledger Live,Ledger Live App,Aplicația Ledger Live,Приложение Ledger Live,Ledger Live App,Ledger Live App,แอป Ledger Live,Ledger Live Uygulaması,Додаток Ledger Live,Ứng dụng Ledger Live,
library,المكتبة,软件库,函式庫,bibliotheek,Bibliothèque,Bibliothek,Βιβλιοθήκη,Laburare,लाइब्रेरी,könyvtár,Library,Libreria,ライブラリ,라이브러리,کتابخانه,Perpustakaan,Library,Biblioteka,Biblioteca,Bibliotecă,Библиотека,biblioteca,Library,ไลบรารี,Kitaplık,Бібліотека,Thư viện,
Lido,Lido,Lido,Brand name,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,
light client,عقدة بسيطة,轻客户端,Light Client,light client,client léger,Light Client,light client,Abokin Hulɗa Mai Haske,लाइट क्लाइंट,könnyű kliens,klien ringan,client leggero,ライトクライアント,라이트 클라이언트,گیرنده سبک,klien ringan,"Small program wey dey connect to blockchain, no be the full thing",Lekki klient,cliente leve,client ușor,легкий клиент,cliente ligero,magaan na kliyente,ไลต์ไคลเอ็นต์,hafif istemci,легкий клієнт,ứng dụng nhẹ,
Lightning Network,Lightning Network,Lightning Network,Lightning Network,Lightning Network,Lightning Network,Lightning Network,Lightning Network,Lightning Network,Lightning Network,Lightning Network,Lightning Network,Lightning Network,Lightning Network,Lightning Network,Lightning Network,Rangkaian Kilat,Lightning Network,Lightning Network,Lightning Network,Lightning Network,Lightning Network,Lightning Network,Lightning Network,Lightning Network,Lightning Network,Lightning Network,Lightning Network,
Linea,Linea,Linea,Linea,Linea,Linea,Linea,Linea,Linea,Linea,Linea,Linea,Linea,Linea,Linea,Linea,Linea,Linea,Linea,Linea,Linea,Linea,Linea,Linea,Linea,Linea,Linea,Linea,
Link,رابط,链接,連結,link,Lien,Link,Link (Σύνδεσμος),Haɗa,लिंक,hivatkozás,Tautan,Link,リンク,링크,لینک,Pautan,Link,Link,Link,Link,Ссылка,enlace,Link,ลิงก์,Bağlantı,Посилання,Liên kết,
liquid democracy,الديمقراطية التفويضية,委任式民主,流動式民主,liquid democracy (gedelegeerde democratie),Démocratie liquide (démocratie délégative),Liquid Democracy (Delegative Democracy),Ρέουσα Δημοκρατία (Εκχωρητική Δημοκρατία),Dimokuraɗiyyar Ruwa,लिक्विड डेमोक्रेसी (डेलीगेटिव डेमोक्रेसी),likvid demokrácia (delegatív demokrácia),Demokrasi Likuid (Demokrasi Delegatif),Democrazia liquida (Democrazia delegata),液体民主主義 (委任型民主主義),유동성 민주주의(위임 민주주의),دموکراسی نقدینگی,Demokrasi Cair (Demokrasi Perwakilan),Government style wey you fit choose person to vote for you instead make you go yasef,Demokracja płynna,Democracia líquida (democracia delegativa),Democrație lichidă (Democrație delegată),Ликвидная демократия (делегативная демократия),democracia líquida (democracia delegativa),Liquid Democracy (Delegatibong Demokrasya),ประชาธิปไตยแบบลื่นไหล (ประชาธิปไตยแบบมอบอำนาจ),Akışkan Demokrasi (Delege Demokrasisi),Ліквідна демократія (делегативна демократія),Dân chủ linh hoạt (Dân chủ đại diện),
liquidation,تصفية,清算,清算,liquidatie,Liquidation,Liquidation,Ρευστοποίηση,Asarar Kasuwa,Liquidation,felszámolás,Likuidasi,Liquidazione,清算,청산,لیکوئید شدن,Pembubaran,When your crypto value fall too much and dem sell am off to pay back loan,Likwidacja,Liquidação,Lichidare,Ликвидность,liquidación,Liquidation,การชำระบัญชี,Likidasyon,Ліквідація,Thanh lý,
liquidity,السيولة,流动性,流動性,liquiditeit,liquidités,Liquidität,ρευστότητα,saukin juya zu kuɗi,लिक्विडिटी,likviditás,likuiditas,liquidità,流動性,유동성,نقدشوندگی,kecairan,"How easy it be to buy and sell crypto, like how fast you fit change am to cash",Płynność,liquidez,lichiditate,ликвидность,liquidez,liquidity,สภาพคล่อง,likidite,ліквідність,thanh khoản,
liquidity pool,تجمع السيولة,流动性池,流動性池,liquiditeitspool,pool de liquidités,Liquiditätspool,δεξαμενή ρευστότητας,asusu na ciniki,लिक्विडिटी पूल,likviditási pool,pool likuiditas,pool di liquidità,流動性プール,유동성 풀,استخر نقدینگی,kolam kecairan,tradin moni pot,Pula płynności,pool de liquidez,pool de lichidități,пул ликвидности,fondo de liquidez,pool ng liquidity,พูลสภาพคล่อง,likidite havuzu,пул ліквідності,bể thanh khoản,
liquidity staking,ربط السيولة,流动性质押,流動性質押,liquiditeit staken,staking liquide,Liquiditätsstaking,ρευστότητα μεριδίου,Sanya saukin juya zu kuɗi,लिक्विडिटी स्टेकिंग,likviditási részesedés,staking likuiditas,staking di liquidità,流動性ステーキング,유동성 스테이킹,سپرده‌گذاری نقدشونده,staking kecairan,stake moni for tradin moni pot,Liquidity staking,staking de liquidez,staking de lichidități,стейкинг ликвидности,staking de liquidez,pagtaya ng liquidity,ฝากสภาพคล่อง,likidite staking,ліквідний стекінг,ký gửi thanh khoản,
Lock,احتجاز,锁定,鎖上,vergrendelen,Verrouiller,Sperren,Lock (Κλείδωμα),Kulle,लॉक करें,lezárni,Kunci,Blocca,ロック,잠금,قفل کردن,Kunci,Lock,Zablokuj,Bloquear,Blochează,Заблокировать,bloquear,I-lock,ล็อก,Kilitle,Заблокувати,Khóa,
Low,منخفضة,低级型,保守型,laag,Faible,Niedrig,Χαμηλότερη τιμή,Kudin mai rahua,कम,alacsony,Rendah,Basse,低,낮음,پایین,Rendah,Low,Ostrożne podejście,Baixa,Slab/scăzut,Низкий,baja,Mababa,ต่ำ,Düşük,Низький,Thấp,
mainnet,شبكة رئيسية (Mainnet),主网,主網,mainnet,réseau principal Ethereum (mainnet),Mainnet,mainnet,mainnet,मेननेट (mainnet),főháló,mainnet,mainnet,メインネット,메인넷,شبکه اصلی,mainnet,Di real blockchain network where real transactions dey happen,Mainnet,mainnet,mainnet,мейн-нет,red principal,mainnet,เครือข่ายหลัก,ana ağ,основна мережа,mạng chính,
Mainnet,شبكة رئيسية (Mainnet),主网,主網,mainnet,Réseau principal Ethereum (Mainnet),Mainnet,Mainnet,Mainnet,मेननेट (mainnet),Mainnet,Mainnet,Mainnet,メインネット,메인넷,شبکه اصلی,Mainnet,Di real blockchain network where real transactions dey happen,Mainnet,Mainnet,Mainnet,Мейн-нет,red principal,Mainnet,เครือข่ายหลัก,Ana ağ,Основна мережа,Mạng chính,
Maker Protocol,بروتوكول Maker,稳定币协议,Maker協議,Maker Protocol,Protocole Maker,Maker-Protokoll,Maker Protocol,Maker Protocol,मेकर प्रोटोकॉल,Maker Protokoll,Protokol Maker,Maker Protocol,Makerプロトコル,메이커 프로토콜,پروتکل‌ میکر,Protokol Maker,Maker Protocol,Protokół Maker,Maker Protocol,Protocolul Maker,Протокол Maker,protocolo Maker,Maker Protocol,Maker Protocol,Maker Protokolü,Протокол Maker,Giao thức Maker,
malware,برمجيات خبيثة,恶意软件,惡意軟體,malware,Programme malveillant,Malware,Κακόβουλο λογισμικό,Malware,मालवेयर,rosszindulatú,Malware,Malware,マルウェア,맬웨어,بدافزار,Perisian Hasad,Computer virus,Złośliwe oprogramowanie,Malware,Malware,Вредоносное программное обеспечение,software malicioso,Malware,มัลแวร์,Kötü amaçlı yazılım,Шкідливе програмне забезпечення,Phần mềm độc hại,
market cap,القيمة السوقية,市值,市值,marktkapitalisatie,capitalisation boursière,Marktkapitalisierung,Επιχειρηματικά κεφάλαια,darajar kasuwa,मार्केट कैप,tőkepiac,kap pasar,capitalizzazione di mercato,時価総額,시가 총액,ارزش بازار,modal pasaran,how big di market be,Kapitalizacja rynkowa,capitalização de mercado,capitalizarea pieței,рыночная капитализация,capitalización bursátil,market cap,มูลค่าตลาด,piyasa değeri,ринкова капіталізація,vốn hóa thị trường,
MATIC,MATIC,MATIC,MATIC,MATIC,MATIC,MATIC,MATIC,MATIC,MATIC,MATIC,MATIC,MATIC,MATIC,MATIC,MATIC,MATIC,MATIC,MATIC,MATIC,MATIC,MATIC,MATIC,MATIC,MATIC,MATIC,MATIC,MATIC,
Maximum Priority Fee,رسوم الأولوية القصوى,最大优先交易费用,第一優先處理費,maximale priority fee,Frai de priorité maximum,Maximale Prioritätsgebühr,Μέγιστη χρέωση προτεραιότητας,Matsakaicin Kudin Fifiko,मैक्सिमम प्रायोरिटी फी,maximális elsőbbségi díj,Biaya Prioritas Maksimum,Tariffa prioritaria massima,最大優先手数料,최대 우선 요금,حداکثر کارمزد اولویت,Bayaran Keutamaan Maksimum,Highest Money Wey Person Fit Pay To Get Quick Service,Maksymalna opłata za priorytet,Taxa de prioridade máxima,Taxă de prioritate maximă,Максимальная плата за приоритет,tarifa de prioridad máxima,Pinakamataas na Bayad sa Priyoridad,ค่าแซงคิวสูงสุด,Maksimum Öncelik Ücreti,Максимальна плата за пріоритет,Phí ưu tiên tối đa,
memory pool,تجمع المعاملات؛ mempool,内存池（Mempool）,内存池,memory pool; mempool,pool de stockage des transactions ; mempool,Memory Pool; Mempool,mempool,jerin jiran ma'amaloli; mempool,मेमोरी पूल; mempool,memóriatár; mempool,pool memori; mempool,pool di memoria; mempool,メモリープール; メムプール,메모리 풀; 멤풀,استخر حافظه؛ ممپول,kolam memori; mempool,payment waiting list,Mempool (pula pamięci),pool de memória; mempool,pool de memorie; mempool,пул памяти; мемпул,cola de transacciones; mempool,memory pool; mempool,"พูลเมมโมรี่, เมมพูล",bellek havuzu; mempool,пул пам'яті; мемпул,bể ghi nhớ giao dịch; bể nhớ giao dịch,
mempool,تجمع المعاملات (Mempool),内存池,交易池,mempool,Mempool,Mempool,Mempool,Jerin jiran ma'amaloli; Mempool,Mempool,Mempool,Mempool,Mempool,メムプール,멤풀,استخر حافظه,Mempool,Payment waiting list,Pula transakcji,Mempool,Mempool,Мемпул,Mempool,Mempool,เมมพูล,Bellek havuzu,Мемпул,Bể nhớ giao dịch,
Mercuryo,Mercuryo,Mercuryo,Mercuryo,Mercuryo,Mercuryo,Mercuryo,Mercuryo,Mercuryo,Mercuryo,Mercuryo,Mercuryo,Mercuryo,Mercuryo,Mercuryo,Mercuryo,Mercuryo,Mercuryo,Mercuryo,Mercuryo,Mercuryo,Mercuryo,Mercuryo,Mercuryo,Mercuryo,Mercuryo,Mercuryo,Mercuryo,
Merge,دمج الإيثريوم (Merge),合并,合併,merge,Fusion (nom),Merge,Συγχώνευση,Haɗawa ,मर्ज (Merge) (नाउन),egyesítés,Merge (noun),Merge (noun),「マージ」,병합(명사),ادغام,Gabungan,Merge,Merge,Fusão,Fuziune,«Слияние»,fusión,Merge (pangngalan),เมิร์ช,Birleştirme,Злиття,Hợp nhất (danh từ),
Merkle Patricia trie,ميركل باتريشيا تري,梅克尔树,梅克爾樹,Merkle Patricia-trie,Arbre de Merkle,Merkle Patricia-Trie,Merkle Patricia trie,Merkle Patricia Trie,मर्कल पेट्रीसिया ट्राई (Merkle Patricia trie),Merkle Patricia trie,Merkle Patricia trie,Trie di Patricia Merkle,マークルパトリシアツリー,머클패트리샤트리,درخت مرکل پاتریشیا,Merkle Patricia trie,Special Data Structure,Drzewo Merkle,Merkle Patricia trie,Arborele Merkle Patricia,Дерево Меркла,árbol de Merkle Patricia trie,Merkle Patricia trie,ต้นไม้ Merkle Patricia,Merkle Patricia trie,Merkle Patricia trie,Cây Merkle Patricia,
Mesh,Mesh,Mesh,Mesh,mesh,Mesh,Mesh,Mesh,Mesh,Mesh,háló,Mesh,Mesh,Mesh,Mesh,Mesh,Mesh,Mesh Network,Mesh,Mesh,Mesh,Mesh,Mesh,Mesh,Mesh,Mesh,Mesh,Mesh,
metadata,البيانات الوصفية,元数据,詮釋資料,metadata,Métadonnées,Metadaten,Metadata,Tarin bayani meta,मेटाडाटा,Metaadatok,Metadata,Metadati,メタデータ,메타데이터,فراداده,Metadata,Extra Information,Metadane,Metadados,Metadata,Метаданные,metadatos,Metadata,ข้อมูลเมต้า,Meta veri,Метадані,Metadata,
MetaMask,MetaMask,MetaMask,MetaMask,MetaMask,MetaMask,MetaMask,MetaMask,MetaMask,MetaMask,MetaMask,MetaMask,MetaMask,MetaMask,MetaMask,MetaMask,MetaMask,MetaMask,MetaMask,MetaMask,MetaMask,MetaMask,MetaMask,MetaMask,MetaMask,MetaMask,MetaMask,MetaMask,
MetaMask Activity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MetaMask Bridge,جسر MetaMask,MetaMask Bridge,MetaMask 跨鏈橋 ,MetaMask Bridge,Passerelle Metamask,MetaMask Bridge,Γέφυρα MetaMask,Gada MetaMask,MetaMask Bridge,MetaMask Bridge,MetaMask Bridge,MetaMask Bridge,MetaMask Bridge,MetaMask 브릿지,MetaMask Bridge,MetaMask Bridge,MetaMask Bridge,MetaMask Bridge,Ponte da MetaMask,MetaMask Bridge,Мост MetaMask,MetaMask Bridge,MetaMask Bridge,MetaMask Bridge,MetaMask Köprüsü,Міст MetaMask,Cầu MetaMask,
MetaMask Community Platform,منصة مجتمع MetaMask,MetaMask 社区平台,MetaMask 社群平台,MetaMask communityplatform,Plateforme communautaire Metamask,MetaMask Community-Plattform,Πλατφόρμα Κοινότητας MetaMask,Dandalin Al'umma na MetaMask,MetaMask कम्युनिटी प्लेटफ़ॉर्म,MetaMask Közösségi Platform,Platform Komunitas MetaMask,Piattaforma della Community di MetaMask,MetaMaskコミュニティプラットフォーム,MetaMask 커뮤니티 플랫폼,پلتفرم انجمن متامسک,Platform Komuniti MetaMask,MetaMask Community Platform,Platforma społeczności MetaMask,Plataforma da comunidade da MetaMask,Platforma comunității MetaMask,Платформа сообщества MetaMask,plataforma comunitaria de MetaMask,Platform ng Komunidad ng MetaMask,แพลตฟอร์มชุมชน MetaMask,MetaMask Topluluk Platformu,Платформа спільноти MetaMask,Nền tảng cộng đồng MetaMask,
MetaMask Extension,امتداد MetaMask,MetaMask Extension,MetaMask 擴充套件,MetaMask extensie,Extension Metamask,MetaMask-Erweiterung,Επέκταση MetaMask,Ƙarin Aiki na MetaMask,MetaMask एक्सटेंशन,MetaMask Extension,Ekstensi MetaMask,Estensione MetaMask,MetaMask拡張機能,MetaMask 확장 프로그램,افزونه متامسک,Sambungan MetaMask,Small program wey dem add for browser or software,Rozszerzenie MetaMask,Extensão da MetaMask,Extensie MetaMask,Расширение MetaMask,Extensión MetaMask,Extension ng MetaMask,ส่วนขยาย MetaMask,MetaMask Uzantısı,Розширення MetaMask,Tiện ích mở rộng MetaMask,
MetaMask Flask,Flask (MetaMask Flask),Flask (MetaMask Flask),Flask (MetaMask Flask),Flask (MetaMask Flask),Flask (MetaMask Flask),Flask (MetaMask Flask),Flask (MetaMask Flask),Flask (MetaMask Flask),Flask (MetaMask Flask),Flask (MetaMask Flask),Flask (MetaMask Flask),Flask (MetaMask Flask),Flask (MetaMask Flask),Flask (MetaMask Flask),Flask (MetaMask Flask),Flask (MetaMask Flask),Flask (MetaMask Flask),Flask (MetaMask Flask),Flask (MetaMask Flask),Flask (MetaMask Flask),Flask (MetaMask Flask),Flask (MetaMask Flask),Flask (MetaMask Flask),Flask (MetaMask Flask),Flask (MetaMask Flask),Flask (MetaMask Flask),Flask (MetaMask Flask),
MetaMask Flask,MetaMask Flask,MetaMask Flask,MetaMask Flask,MetaMask Flask,Metamask Flask,MetaMask Flask,MetaMask Flask,MetaMask Flask,MetaMask Flask,MetaMask Flask,MetaMask Flask,MetaMask Flask,MetaMask Flask,MetaMask Flask,MetaMask Flask,MetaMask Flask,MetaMask Flask,MetaMask Flask,MetaMask Flask,MetaMask Flask,MetaMask Flask,MetaMask Flask,MetaMask Flask,MetaMask Flask,MetaMask Flask,MetaMask Flask,MetaMask Flask,
MetaMask Institutional,Institutional (MetaMask Institutional) (MMI),Institutional (MetaMask Institutional) (MMI),Institutional (MetaMask Institutional) (MMI),Institutional (MetaMask Institutional) (MMI),Institutional (MetaMask Institutional) (MMI),Institutional (MetaMask Institutional) (MMI),Institutional (MetaMask Institutional) (MMI),Institutional (MetaMask Institutional) (MMI),Institutional (MetaMask Institutional) (MMI),Institutional (MetaMask Institutional) (MMI),Institutional (MetaMask Institutional) (MMI),Institutional (MetaMask Institutional) (MMI),Institutional (MetaMask Institutional) (MMI),Institutional (MetaMask Institutional) (MMI),Institutional (MetaMask Institutional) (MMI),Institutional (MetaMask Institutional) (MMI),Institutional (MetaMask Institutional) (MMI),Institutional (MetaMask Institutional) (MMI),Institutional (MetaMask Institutional) (MMI),Institutional (MetaMask Institutional) (MMI),Institutional (MetaMask Institutional) (MMI),Institutional (MetaMask Institutional) (MMI),Institutional (MetaMask Institutional) (MMI),Institutional (MetaMask Institutional) (MMI),Institutional (MetaMask Institutional) (MMI),Institutional (MetaMask Institutional) (MMI),Institutional (MetaMask Institutional) (MMI),
MetaMask Institutional,MetaMask Institutional,MetaMask Institutional,MetaMask Institutional,MetaMask Institutional,Metamask Institutional,MetaMask Institutional,MetaMask Institutional,MetaMask Institutional,MetaMask Institutional,MetaMask Institutional,MetaMask Institutional,MetaMask Institutional,MetaMask Institutional,MetaMask Institutional,MetaMask Institutional,MetaMask Institutional,MetaMask Institutional,MetaMask Institutional,MetaMask Institutional,MetaMask Institutional,MetaMask Institutional,MetaMask Institutional,MetaMask Institutional,MetaMask Institutional,MetaMask Institutional,MetaMask Institutional,MetaMask Institutional,
MetaMask Learn,MetaMask Learn,MetaMask Learn,MetaMask Learn,MetaMask Learn,Metamask Learn,MetaMask Learn,MetaMask Learn,MetaMask Learn,MetaMask Learn,MetaMask Learn,MetaMask Learn,MetaMask Learn,MetaMask Learn,MetaMask Learn,MetaMask Learn,MetaMask Learn,MetaMask Learn,MetaMask Learn,MetaMask Learn,MetaMask Learn,MetaMask Learn,MetaMask Learn,MetaMask Learn,MetaMask Learn,MetaMask Learn,MetaMask Learn,MetaMask Learn,
MetaMask SDK,MetaMask SDK,MetaMask SDK（软件开发工具包）,MetaMask 軟體開發套件,MetaMask SDK,MetaMask SDK,MetaMask SDK,MetaMask SDK,Kit ɗin Ci gaban Software MetaMask,MetaMask SDK,MetaMask SDK,MetaMask SDK,MetaMask SDK,MetaMask SDK,MetaMask SDK,کیت توسعه نرم‌افزار متامسک,MetaMask SDK,MetaMask SDK,MetaMask SDK,SDK da MetaMask,MetaMask SDK,MetaMask SDK,MetaMask SDK,MetaMask SDK,MetaMask SDK,MetaMask SDK,MetaMask SDK,SDK MetaMask,
MetaMask Snaps,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MetaMask Support,دعم MetaMask,MetaMask 支持团队,MetaMask 客服,MetaMask Support,Assistance Metamask,MetaMask Support,MetaMask Support (Υποστήριξη MetaMask),Tallafin MetaMask,MetaMask Support,MetaMask Támogatás,Dukungan MetaMask,Assistenza di MetaMask ,MetaMask サポート,MetaMask 지원,پشتیبانی متامسک,Sokongan MetaMask,MetaMask Support,Wsparcie MetaMask,Suporte da MetaMask,Asistență MetaMask,Поддержка MetaMask,soporte de Metamask,Suporta sa MetaMask,ฝ่ายสนับสนุน MetaMask,MetaMask Destek,Підтримка MetaMask,Hỗ trợ MetaMask,
MetaMask Swaps,MetaMask Swaps,MetaMask Swaps,MetaMask Swaps,MetaMask Swaps,MetaMask Swaps,MetaMask Swaps,MetaMask Swaps,MetaMask Swaps,MetaMask Swaps,MetaMask Swaps,MetaMask Swaps,MetaMask Swaps,MetaMask Swaps,MetaMask Swaps,MetaMask Swaps,MetaMask Swaps,MetaMask Swaps,MetaMask Swaps,MetaMask Swaps,MetaMask Swaps,MetaMask Swaps,MetaMask Swaps,MetaMask Swaps,MetaMask Swaps,MetaMask Swaps,MetaMask Swaps,MetaMask Swaps,
MetaMetrics,MetaMetrics,MetaMetrics,MetaMetrics,MetaMetrics,MetaMetrics,MetaMetrics,MetaMetrics,MetaMetrics,MetaMetrics,MetaMetrics,MetaMetrics,MetaMetrics,MetaMetrics,MetaMetrics,MetaMetrics,MetaMetrics,MetaMetrics,MetaMetrics,MetaMetrics,MetaMetrics,MetaMetrics,MetaMetrics,MetaMetrics,MetaMetrics,MetaMetrics,MetaMetrics,MetaMetrics,
metaverse,ميتافرس,元宇宙,元宇宙,metaverse,métavers,Metaverse,metaverse,metaverse,metaverse,metaverzum,metaverse,metaverso,メタバース,메타버스,متاورس,metaverse,Virtual world,Metawersum,metaverso,metavers,метавселенная,metaverso,metaverse,เมตาเวิร์ส,metaverse,метавсесвіт,vũ trụ ảo,
MEV,القيمة القصوى القابلة للاستخراج (MEV),最大可提取价值（MEV）,最大可提取價值,MEV (maximal extractable value),Valeur extractible maximum (MEV),Maximaler extrahierbarer Wert (MEV),Μέγιστη εξαγώγιμη αξία (MEV),Matsakaicin Darajar da za a Fitar (MEV),मैक्सिमम एक्सट्रैक्टेबल वैल्यू (MEV),maximális kinyerhető érték (MKE),Nilai yang Dapat Diekstrak Maksimal (MEV),Valore Massimo Estraibile (MEV),最大抽出可能価値 (MEV),최대추출가능가치(MEV),حداکثر ارزش قابل استخراج (MEV),Nilai Boleh Diekstrak Maksimum (MEV),Highest Value wey Person Fit Get for Trade,MEV (maksymalna wartość możliwa do wydobycia),Valor máximo extraível (MEV),Valoare extractibilă maximă (MEV),Максимальная извлекаемая ценность (MEV),valor máximo extraíble (MEV),Maximal Extractable Value (MEV),มูลค่าที่สกัดได้สูงสุด (MEV),Maksimal Çıkarılabilir Değer (MEV),Максимальна вилучена цінність (MEV),Giá trị có thể trích xuất tối đa (MEV),
MFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
miner,المُعدِّن,矿工,礦工,miner,mineur,Miner,miner,Mai hakar ma'adinai,माइनर (miner),bányász,penambang,miner,マイナー,채굴기,استخراج‌کننده,pelombong,Person wey dey confirm transactions,Górnik,minerador,miner,майнер,minero,minero,นักขุด,madenci,майнер,thợ đào,
miner tip,إكرامية المُعدنّ,矿工费,礦工小費,miner tip,pourboire du mineur,Miner Tip,φιλοδώρημα miner,kudin haƙowa,माइनर (miner) टिप,bányász tipp,tip penambang,mancia per i miner,マイナーチップ,채굴기 팁,انعام ماینر,bayaran pelombong,Miner reward,Miner tip (napiwek dla górnika/walidatora),gorjeta do minerador,miner tip,«Чаевые» майнеру,propina del minero,tip ng minero,ทิปนักขุด,madenci bahşişi,«чайові майнеру»,tiền thưởng cho thợ đào,
mining,التعدين,挖矿,挖礦,mining,minage,Mining,εξόρυξη,haƙowa,माइनिंग,bányászás,penambangan,mining,マイニング,채굴,استخراج,melombong,Crypto mining,Kopanie kryptowalut,mineração,minare,майнинг,minería,pagmimina,การขุด,madencilik,майнінг,đào,
mint,سكّ,铸币,鑄造,minten,minter,Prägung,Mint,Ƙirƙira Sabon Tokens,मिंट,pénzverés,Cetak,Mint,ミント,민트,ضرب کردن,Mint,Create new crypto,Minting / mintowanie,Cunhagem,Mint,Выполнить минтинг,acuñar,Mint,สร้าง,Mint,Мінт,Đúc,
MMI,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mnemonic phrase,عبارة التذكر,助记词,助記詞,mnemonic phrase,phrase mnémotechnique,Mnemonische Phrase,Μνημονική φράση,kalmar sirri,नेमोनिक फ्रेज़,mnemonikus szókapcsolat,frasa mnemonik,frase mnemonica,ニーモニックフレーズ,니모닉 구문,عبارت یادآور,frasa mnemonik,Secret group of words wey you fit use recover your crypto wallet,Mnemonic phrase,frase mnemônica,frază mnemotehnică,мнемоническая фраза,frase mnemotécnica,mnemonic na parirala,วลีช่วยจำ,anımsatıcı ifade,мнемонічна фраза,cụm từ ghi nhớ,
MobiKwik,MobiKwik,MobiKwik,MobiKwik,MobiKwik,MobiKwik,MobiKwik,MobiKwik,MobiKwik,MobiKwik,MobiKwik,MobiKwik,MobiKwik,MobiKwik,MobiKwik,MobiKwik,MobiKwik,MobiKwik,MobiKwik,MobiKwik,MobiKwik,MobiKwik,MobiKwik,MobiKwik,MobiKwik,MobiKwik,MobiKwik,MobiKwik,
modular blockchain,بلوكتشين قائم على نظام الوحدات,模块化区块链,模塊化區塊鏈,modulaire blockchain,blockchain modulaire / Chaîne de blocs modulaire,Modulare Blockchain,τμηματοποιημένη αλυσίδα,mai sassauƙa na blockchain,मॉड्यूलर ब्लॉकचेन,moduláris blokklánc,blockchain modular,blockchain modulare,モジュラー型ブロックチェーン,모듈형 블록체인,بلاک‌چین مدولار,rantaian blok modular,Blockchain wey dem break into pieces,Blockchain modułowy,blockchain modular,blockchain modular,модульный блокчейн,cadena de bloques modular,modular na blockchain,บล็อกเชนแยกส่วน,modüler blokzinciri,модульний блокчейн,chuỗi khối mô-đun,
MoonPay,MoonPay,MoonPay,MoonPay,MoonPay,MoonPay,MoonPay,MoonPay,MoonPay,MoonPay,MoonPay,MoonPay,MoonPay,MoonPay,MoonPay,MoonPay,MoonPay,MoonPay,MoonPay,MoonPay,MoonPay,MoonPay,MoonPay,MoonPay,MoonPay,MoonPay,MoonPay,MoonPay,
