Term,Part of speech,Term Category,Phonetic,Definition,Source,Date first recorded
Scrypt,noun,decentralized web,/ˈskrɪpt/,"An alternative proof-of-work (PoW) algorithm to SHA-256, used in Bitcoin mining. Scrypt mining relies more heavily on memory than on pure CPU power, aiming to reduce the advantage that ASICs. Scrypt ",,
Secret Recovery Phrase,noun,decentralized web,/ˈsiːkrɪt rɪˈkʌvəri freɪz/,"The seed phrase, mnemonic, or Secret Recovery Phrase is a crucial part of public blockchain technology, originally created for Bitcoin, and goes by many names. However, they all refer to a set of ordered words which correspond to determined values. These values never change, and therefore the same string of words in the same order will always produce the same number–this is the underlying functionality that allows seed phrases to back up wallets. This is also where the name ‘hierarchical deterministic wallets’ comes from, as all the accounts in a given wallet are deterministically created from the seed phrase, and they are hierarchically controlled by it. A Secret Recovery Phrase is exactly what it sounds like: something that is secret, and should be known only to the owner of the account. If the seed phrase is given to someone else, that person has complete control over the account; they can drain it of tokens and funds, execute transactions with it, etc.    What is a ‘Secret Recovery Phrase’ and how to keep your crypto wallet secure",,
seed phrase,noun,decentralized web,/siːd freɪz/,Another term for Secret Recovery Phrase,,
self-custody,noun,decentralized web,/ˈsɛlfˈkʌstədi/,"Self-custodial' refers to the fact that it's you ('self') who holds your wallet's private key(s). A self-custodial wallet eliminates the third party between you and your crypto-assets, which is more suitable for some people.",,
self-executing,adjective,decentralized web,/ˈsɛlfɪɡˈzɛkjʊtɪŋ/,A smart contract is a self-executing contract: a computer program that automatically executes the terms of a contract when certain conditions are met.,,
Serenity,noun,decentralized web,/sɛˈrɛnɪti/,"The Ethereum network is working on a series of technical upgrades that will allow massive increases in transaction throughput, amongst other things. The plan that outlined these changes was originally referred to as 'Serenity', although that name has become less popular, in favor of specific descriptions of the upgrades themselves.",,
serialization,noun,decentralized web,/ˌsɪəriəˈleɪʃən/,The process of converting a data structure into a sequence of bytes. Ethereum internally uses an encoding format called recursive-length prefix encoding (RLP).,,
shard chain,noun,decentralized web,/ʃɑːrd tʃeɪn/,A proof-of-stake chain that is coordinated by the Beacon Chain and secured by validators. There will be 64 added to the network as part of the shard chain upgrade. Shard chains will offer increased transaction throughput for Ethereum by providing additional data to layer 2 solutions like optimistic rollups and ZK-rollups.,,
sharding,verb,decentralized web,/ˈʃɑːrdɪŋ/,"Sharding, in public blockchains, refers to splitting an entire network into multiple portions, called “shards.” Each shard would contain its own independent state, meaning a unique set of account balances and smart contracts. Sharding is currently being investigated and developed as one of the set of tools and solutions for scaling Ethereum.",,
shielded transaction,noun,decentralized web,/ˈʃiːldɪd trænˈzækʃən/,A shielded transaction is essentially a transaction that is between two shielded addresses. Shielded Transaction ,,
sidechain,noun,decentralized web,/ˈsaɪdˌtʃeɪn/,"A ‘sidechain’ refers to a chain that is connected to another (most often, to Ethereum) through a bridge, allowing assets to be transferred between them. In contrast to a Layer 2 network or a rollup, a sidechain is a full blockchain network in and of itself, and does not rely on Ethereum for consensus. It therefore must be evaluated independently in terms of its security, stability, and other features. See also “blockchain trilemma”, “modular blockchain”. Note: Bridges exist for good reason; sending tokens from a sidechain to Ethereum mainnet or vice versa would result in token loss.",,
signature,noun,decentralized web,"/ˈsɪɡnətʃər/, /ˌkrɪptəˈɡræfɪk/","In the context of public blockchain networks, a ""signature"" is generally a cryptographic signature, generated by a public-private key pair. See 'Digital signature'",,
slashing condition,noun,decentralized web,/ˈslæʃɪŋ kənˈdɪʃən/,"Under a Proof of Stake (PoS) consensus mechanism, a slashing condition is one that causes the validator's deposit to be destroyed when they trigger it. See also 'Proof of Stake'.",,
slippage,noun,decentralized web,/ˈslɪpɪdʒ/,Slippage is the expected percentage difference between a quoted and an executed price.,,
slot,noun,decentralized web,/slɒt/,"In Proof of Stake consensus in Ethereum, a 'slot' is a period of time equivalent to 12 seconds; 32 slots make up an 'epoch'. Slots are significant in that for each slot, a different validator node is randomly chosen to propose blocks to the network, and a different committee of validators are chosen to vote on whether each block is valid",,
smart contract,noun,decentralized web,/smɑːrt ˈkɒntrækt/,"Smart contracts are programs that have been published on a public blockchain, and can be used by anyone. While they often contain agreements or sets of actions between parties that emulate a traditional legal contract, they are not, in and of themselves, legal documents. Smart contracts are automated actions that can be coded and executed once a set of conditions is met, and are the dominant form of programming on the Ethereum Virtual Machine.",,
soft fork,noun,decentralized web,/sɒft fɔrk/,"A change to the blockchain protocol resulting in only previously valid blocks and transactions being made invalid. Since old nodes will recognize the new blocks as valid, a soft fork is backward-compatible. However, this can result in a potential divide in the blockchain, as the old software generates blocks that read as invalid according to the new rules. Contrast with 'hard fork'; for more basic information regarding forks, see 'fork'.",,
stablecoin,noun,decentralized web,/ˈsteɪblˌkɔɪn/,"A cryptocurrency whose value has been ‘pegged’ to that of something considered a ‘stable’ asset, like fiat currency or gold. It theoretically remains stable in price, as it is measured against a known amount of an asset which should be less subject to fluctuation. Always spelled as one word. User Guide: Tokens ",,
staking,noun,decentralized web,/ˈsteɪkɪŋ/,"On the Ethereum Proof of Stake network, those wishing to participate in consensus must first lock up, or ‘stake’, 32 ETH into a smart contract; this ETH may be ‘slashed’ (taken from them and ‘burned’, put out of circulation) in the event that their validator behaves maliciously or does not meet performance requirements. Similar Proof of Stake mechanisms are in operation on other networks, as well. Although this is the canonical meaning of the word, similar actions taken at the level of a decentralized exchange (DEX) or another dapp are often called ‘staking’, though it would probably be more accurate and descriptive to just call this ‘locking up tokens’.",,
state,noun,decentralized web,/steɪt/,"The set of data that a blockchain network strictly needs to keep track of, and that represents data currently relevant to applications on the chain.",,
state channels,noun,decentralized web,/steɪt ˈtʃænəlz/,"State channels are part of the set of tools and platforms involved in scaling Ethereum. While a complex topic, state channels are essentially methods through which the current 'state' of the blockchain can be exported, and then based on that, any given number of transactions can take place off-chain, and then be moved back onto the main Ethereum chain.",,
streaming,noun,decentralized web,/ˈstriːmɪŋ/,Money streaming represents the idea of continuous payments over time. Block numbers are used to measure time in the blockchain and continuously update the balances of the parties in the contract.,,
swap,verb,decentralized web,/swɒp/,"As the number of different blockchain projects and tokens has proliferated, the system by which users exchange one token for another has come to be known as 'swapping', and the individual action, 'a swap', or in the verb form, 'to swap.' This form is lowercase. Capitalization (except at the beginning of a word or in a title) indicates reference to a particular platform for swapping, e.g. MetaMask Swaps.",,
szabo,noun,decentralized web,/ˈsæboʊ/,A denomination of ETH. See also 'ether (denominations)'.,,
testnet,noun,decentralized web,/ˈtɛstˌnɛt/,"A testnet is a blockchain network that mirrors, as closely as possible, the current conditions of a corresponding ‘main’ network. Testnets are used by developers to verify that their smart contracts and other functionality work as intended, before permanently recording their code to a live blockchain network (and often spending significant gas fees in the process!). Tokens minted on testnets are not transferrable for their equivalent value on mainnets.",,
testnet,noun,decentralized web,/ˈtɛstˌnɛt/,,,
token,noun,decentralized web,/ˈtoʊkən/,A token represents an asset issued on an existing blockchain; the transfer of tokens and the addresses that currently hold them are the subject of the network’s consensus activities. There are many types of tokens; see also ‘ERC-20’ and ‘ERC-721’ entries.,,
token lockup,noun,decentralized web,/ˈtoʊkən ˈlɒkʌp/,"A token lock-up refers to a mechanism where certain tokens or cryptocurrency holdings are locked up or frozen for a specified period of time to restrict their transfer or sale. This is often used in the context of initial coin offerings (ICOs), where token issuers may require investors to commit to holding onto their tokens for a certain period, typically to ensure that investors are committed to the project's long-term success. Token lock-up periods can vary in duration and can be predetermined or set according to certain conditions, such as reaching a certain milestone, liquidity event or network upgrade. During the lock-up period, the tokens cannot be transferred or sold, although in some cases, they may be staked or used to participate in certain network activities. Once the lock-up period is over, the tokens can be freely traded or sold.",,
token standard,noun,decentralized web,/ˈtoʊkən ˈstændərd/,"See ERC-20, ERC-721, ERC-1155, etc.",,
Transaction,noun,decentralized web,/trænˈzækʃən/,"Data committed to the Ethereum Blockchain signed by an originating account, targeting a specific address. The transaction contains metadata such as the gas limit for that transaction.",,
transaction block,noun,decentralized web,/trænˈzækʃən blɒk/,"A collection of transactions on a blockchain network, gathered into a set or a block that can then be hashed and added to the blockchain. See 'hash'.",,
transaction fee,noun,decentralized web,/trænˈzækʃən fiː/,"A small fee imposed on transactions sent across a blockchain network. These fees are used to pay network validators or miners for their participation in consensus, and thus ensure that a blockchain network is self-sustaining.",,
transaction ID,noun,decentralized web,/trænˈzækʃən ˈaɪˈdiː/,"A transaction hash/ID (often abbreviated as tx hash or txn hash) is a unique identifier, similar to a receipt, that serves as proof that a transaction was validated and added to the blockchain. In many cases, a transaction hash is needed in order to locate funds.",,
transaction pool,noun,decentralized web,/trænˈzækʃən puːl/,"When a user submits a transaction to the Ethereum network--or many other networks based on Ethereum--the transaction goes into what's know as a 'transaction pool', or 'txpool' for short. This is essentially a queue of transactions that are waiting to be added to a block and recorded to the blockchain. There are mechanisms that determine which transactions are 'picked up' and included in the next block, and there is currently a lot of research surrounding how this decision gets made (see 'MEV'). In Bitcoin, the transaction pool was referred to as the 'memory pool', or 'mempool', and often these terms are used interchangeably.",,
trustless,adjective,decentralized web,/ˈtrʌstlɪs/,"Trustless' is a term that gets used a lot in the decentralized web, and it deserves some explanation. Traditionally, to call something 'trustless' would sound like a negative thing. In the context of decentralized technology, it has a more technical meaning: since everyone has a copy of the ledger of all transactions ever executed, there is no need for a centralized entity that 'must be trusted' as the source of truth. With public blockchain networks, data isn't kept on some centralized server somewhere that could be hacked or changed arbitrarily; anyone can verify the transactions themselves. This is why the term 'trustless' was coined: there is no need for trust, although, in a way, the rules and assurances built into the blockchain provide the basis for greater trust between people, because the system is guaranteed to work the same for everyone.",,
TVL,noun,decentralized web,"/ˈtoʊtəl ˈvæljuː ˈlɒkt/, /ˌtiː ˈviː ˈɛl/","Initialism; Total Value Locked, or TVL, is a common expression used in many contexts across the crypto ecosystem, so it's important to pay attention to the specifics. In general, it refers to how much value, in tokens, has been deposited into something. Most often, it refers to a protocol, which is an application on the blockchain, or a set of protocols. For example, a decentralized token trading platform might have a series of liquidity pools, which are protocols enabling swaps between tokens, and the platform may quote the 'TVL' for all the pools combined. Alternatively, if a network uses proof of stake for their consensus mechanism, they may represent the TVL of all the tokens staked into that consensus protocol.",,
TXID,noun,decentralized web,/ˈtɛksɪd/,"Initialism; Transaction ID. Usually a long ""hash"" string of characters identifying a particular blockchain transaction, e.g. on a blockchain explorer.",,
unspent transaction output,noun,decentralized web,"/ˌʌnˈspɛnt trænˈzækʃən ˈaʊtpʊt/, /ˌjuːˈtiːˈɛksoʊ/",,,
unspent transaction output (UTXO),noun,decentralized web,"/ˌʌnˈspɛnt trænˈzækʃən ˈaʊtpʊt/, /ˌjuːˈtiːˈɛksoʊ/","An unspent transaction output (UTXO) represents some amount of digital currency which has been authorized by one account to be spent by another. UTXOs use public key cryptography to identify and transfer ownership between holders of public/private key pairs. UTXOs are formatted with the recipient's public key, thus restricting the ability to spend that UTXO to the account that can prove ownership of the associated private key. The UTXO can only be spent if it includes the digital signature associated with the public key attached the last time it was sent.",,
UTXO,noun,decentralized web,/ˌjuːˈtiːˈɛksoʊ/,Initialism; Unspent Transaction Output.,,
validator,noun,decentralized web,/ˈvælɪˌdeɪtər/,"A participant in Proof of Stake (PoS) consensus. On Ethereum’s Proof of Stake network, validators need to stake 32 ETH in order to get included in the validator set. See also ‘staking’.",,
validity proof,noun,decentralized web,/ˈvælɪdɪti pruːf/,The proof submitted along with certain types of rollups to prove that the transactions are valid. See also 'rollups'.,,
wallet,noun,decentralized web,/ˈwɒlɪt/,"In Ethereum-based blockchain technology, a 'wallet' is a something that allows you to manage private keys, your Secret Recovery Phrase, and the accounts generated from it. This could be an internet-connected 'hot wallet', like MetaMask, or an 'airgapped' hardware wallet. In more technical speak, you could say 'the wallet is the client, not the keys.' It is very common for people to use the word 'wallet' to refer to their SRP itself, or the accounts generated from it, or even to one account.",,
web3,noun,decentralized web,"/wɛb θriː/, /wɛb ˈθriː pɔɪnt oʊ/","Web3, or Web 3.0, are terms used synonymously with “the decentralized web” and are often used to refer, broadly, to the blockchain and decentralized technology ecosystems and communities as a whole.",,
wei,noun,decentralized web,/wiː/,"Wei is the smallest denomination of ether, the currency used to facilitate transactional operations on the Ethereum blockchain network, where 10^18 or 1,000,000,000,000,000,000 wei is equivalent to one ether. ",,
wrapping,verb,decentralized web,/ˈræpɪŋ/,"Wrapping a token is a way of bringing a token from one network to another, like wrapped Bitcoin or MATIC tokens on Ethereum Mainnet. User Guide: Tokens ",,
yield farming,verb,decentralized web,/ˈjiːld ˈfɑːrmɪŋ/,"Yield farming is an investment practice that involves locking crypto in a dapp for token rewards. Yield farmers deposit their tokens into DeFi applications for crypto trading, lending, or borrowing.",,
yield-bearing tokens,noun,decentralized web,/ˈjiːldˈbɛərɪŋ ˈtoʊkənz/,Yield tokens. See 'yield farming',,
zero address,noun,decentralized web,/ˈzɪəroʊ ˈædrɛs/,The Zero Address is an address on the Ethereum network that is the recipient of a special transaction used to register the creation of a new smart contract on the network.,,
zero-knowledge proof,noun,decentralized web,/ˈzɪəroʊˈnɒlɪdʒ pruːf/,A zero-knowledge proof is a cryptographic method that allows an individual to prove that a statement is true without conveying any additional information.,,
zero-knowledge rollup,noun,decentralized web,/ˈzɪəroʊˈnɒlɪdʒ ˈrəʊlʌp/,"A rollup of transactions that use validity proofs to offer increased layer 2 transaction throughput while using the security provided by mainnet (layer 1). Although they can't handle complex transaction types, like Optimistic rollups, they don't have latency issues because transactions are provably valid when submitted.",,
zk-SNARK,noun,decentralized web,/ˌzɛdˌkeɪˈsnɑːrks/,"Combination acronym-initialism; Zero-Knowledge Succinct Non-interactive ARguments of Knowledge. zk-SNARKs are an incredible technology, and vital to the scaling of blockchain technology and the decentralized web. They are mathematically complex and can be daunting; this explanation from the Ethereum Foundation is a good primer.",,
Serenity,noun,decentralized web,/sɛˈrɛnɪti/,"The Ethereum network is working on a series of technical upgrades that will allow massive increases in transaction throughput, amongst other things. The plan that outlined these changes was originally referred to as 'Serenity', although that name has become less popular, in favor of specific descriptions of the upgrades themselves.",,
serialization,noun,decentralized web,/ˌsɪəriəˈleɪʃən/,The process of converting a data structure into a sequence of bytes. Ethereum internally uses an encoding format called recursive-length prefix encoding (RLP).,,
shard chain,noun,decentralized web,/ʃɑːrd tʃeɪn/,A proof-of-stake chain that is coordinated by the Beacon Chain and secured by validators. There will be 64 added to the network as part of the shard chain upgrade. Shard chains will offer increased transaction throughput for Ethereum by providing additional data to layer 2 solutions like optimistic rollups and ZK-rollups.,,
sharding,verb,decentralized web,/ˈʃɑːrdɪŋ/,"Sharding, in public blockchains, refers to splitting an entire network into multiple portions, called “shards.” Each shard would contain its own independent state, meaning a unique set of account balances and smart contracts. Sharding is currently being investigated and developed as one of the set of tools and solutions for scaling Ethereum.",,
shielded transaction,noun,decentralized web,/ˈʃiːldɪd trænˈzækʃən/,A shielded transaction is essentially a transaction that is between two shielded addresses. Shielded Transaction ,,
sidechain,noun,decentralized web,/ˈsaɪdˌtʃeɪn/,"A ‘sidechain’ refers to a chain that is connected to another (most often, to Ethereum) through a bridge, allowing assets to be transferred between them. In contrast to a Layer 2 network or a rollup, a sidechain is a full blockchain network in and of itself, and does not rely on Ethereum for consensus. It therefore must be evaluated independently in terms of its security, stability, and other features. See also “blockchain trilemma”, “modular blockchain”. Note: Bridges exist for good reason; sending tokens from a sidechain to Ethereum mainnet or vice versa would result in token loss.",,
signature,noun,decentralized web,"/ˈsɪɡnətʃər/, /ˌkrɪptəˈɡræfɪk/","In the context of public blockchain networks, a ""signature"" is generally a cryptographic signature, generated by a public-private key pair. See 'Digital signature'",,
slashing condition,noun,decentralized web,/ˈslæʃɪŋ kənˈdɪʃən/,"Under a Proof of Stake (PoS) consensus mechanism, a slashing condition is one that causes the validator's deposit to be destroyed when they trigger it. See also 'Proof of Stake'.",,
slippage,noun,decentralized web,/ˈslɪpɪdʒ/,Slippage is the expected percentage difference between a quoted and an executed price.,,
slot,noun,decentralized web,/slɒt/,"In Proof of Stake consensus in Ethereum, a 'slot' is a period of time equivalent to 12 seconds; 32 slots make up an 'epoch'. Slots are significant in that for each slot, a different validator node is randomly chosen to propose blocks to the network, and a different committee of validators are chosen to vote on whether each block is valid",,
smart contract,noun,decentralized web,/smɑːrt ˈkɒntrækt/,"Smart contracts are programs that have been published on a public blockchain, and can be used by anyone. While they often contain agreements or sets of actions between parties that emulate a traditional legal contract, they are not, in and of themselves, legal documents. Smart contracts are automated actions that can be coded and executed once a set of conditions is met, and are the dominant form of programming on the Ethereum Virtual Machine.",,
soft fork,noun,decentralized web,/sɒft fɔrk/,"A change to the blockchain protocol resulting in only previously valid blocks and transactions being made invalid. Since old nodes will recognize the new blocks as valid, a soft fork is backward-compatible. However, this can result in a potential divide in the blockchain, as the old software generates blocks that read as invalid according to the new rules. Contrast with 'hard fork'; for more basic information regarding forks, see 'fork'.",,
stablecoin,noun,decentralized web,/ˈsteɪblˌkɔɪn/,"A cryptocurrency whose value has been ‘pegged’ to that of something considered a ‘stable’ asset, like fiat currency or gold. It theoretically remains stable in price, as it is measured against a known amount of an asset which should be less subject to fluctuation. Always spelled as one word. User Guide: Tokens ",,
staking,noun,decentralized web,/ˈsteɪkɪŋ/,"On the Ethereum Proof of Stake network, those wishing to participate in consensus must first lock up, or ‘stake’, 32 ETH into a smart contract; this ETH may be ‘slashed’ (taken from them and ‘burned’, put out of circulation) in the event that their validator behaves maliciously or does not meet performance requirements. Similar Proof of Stake mechanisms are in operation on other networks, as well. Although this is the canonical meaning of the word, similar actions taken at the level of a decentralized exchange (DEX) or another dapp are often called ‘staking’, though it would probably be more accurate and descriptive to just call this ‘locking up tokens’.",,
state,noun,decentralized web,/steɪt/,"The set of data that a blockchain network strictly needs to keep track of, and that represents data currently relevant to applications on the chain.",,
state channels,noun,decentralized web,/steɪt ˈtʃænəlz/,"State channels are part of the set of tools and platforms involved in scaling Ethereum. While a complex topic, state channels are essentially methods through which the current 'state' of the blockchain can be exported, and then based on that, any given number of transactions can take place off-chain, and then be moved back onto the main Ethereum chain.",,
streaming,noun,decentralized web,/ˈstriːmɪŋ/,Money streaming represents the idea of continuous payments over time. Block numbers are used to measure time in the blockchain and continuously update the balances of the parties in the contract.,,
swap,verb,decentralized web,/swɒp/,"As the number of different blockchain projects and tokens has proliferated, the system by which users exchange one token for another has come to be known as 'swapping', and the individual action, 'a swap', or in the verb form, 'to swap.' This form is lowercase. Capitalization (except at the beginning of a word or in a title) indicates reference to a particular platform for swapping, e.g. MetaMask Swaps.",,
szabo,noun,decentralized web,/ˈsæboʊ/,A denomination of ETH. See also 'ether (denominations)'.,,
Consensys,noun,project or product,/kənˈsɛnsɪs/,"Short for Consensus Systems, fka ConsenSys. Launched alongside the founding of the Ethereum network by Joseph Lubin, Consensys was a sort of incubator, seeking to discover, nurture, and develop software, tooling, and use cases for programmable public blockchain networks. Consensys Mesh continues to serve in this broader ""incubator"" role, while Consensys Software Inc. is a for-profit company, maintaining and producing the MetaMask wallet, the Infura and DeFura blockchain data access protocols, the Linea zkEVM Layer 2 network, and the Diligence smart contract auditing service, amongst many other products.",,
Infura,noun,project or product,/ɪnˈfjʊərə/,"Part of Consensys, Infura offers backend access to the Ethereum network over established HTTP and WebSockets technology. Prior to Infura, developers were obligated to run their own nodes of the networks with which they wanted to interact; Infura provides that access through a set of APIs. This enables developers of dapps and websites seeking to interact with the Ethereum blockchain to do so, and at scale. Infura",,
Linea,noun,project or product,/lɪˈniːə/,,,
MetaMask,noun,project or product,/ˈmɛtəˌmæsk/,"MetaMask, either in its mobile app form on iOS and Android, or in its browser extension form, is a tool to access and interact with blockchains and the decentralized web. It allows users to manage their digital identity and the permission of others to interact with that identity; its functions include that of a wallet, a dapp permissions manager, and access to token swaps. It is an open-source project that encourages developers from other projects to build on top of it through MetaMask Snaps.",,
MetaMask Flask,noun,project or product,/ˈmɛtəˌmæsk flæsk/,"MetaMask Flask is a distribution of the software designed for developers. It's like a laboratory (hence the name) where the MetaMask team can try out new ideas and features. It has experimental, even dangerous functionality in it that is not meant for everyday use. It also doesn't have the same stability guarantees that the production distribution of MetaMask has. What is MetaMask Flask, and how is it different from normal MetaMask?",,
MetaMask Institutional,noun,project or product,/ˈmɛtəˌmæsk ˌɪnstɪˈtjuːʃənl/,"MetaMask Institutional is an institution-compliant version of the world’s leading web3 wallet, MetaMask. Organizations trust us to manage their web3 access and engagement with institution-required security, operational efficiency, and compliance. MetaMask Institutional ",,
MetaMask Learn,noun,project or product,/ˈmɛtəˌmæsk lɜrn/,"MetaMask Learn is a free-to-use educational platform available in 10 languages for anyone interested in learning about web3. Through engaging lessons and interactive simulations, it helps you understand what web3 is, why it matters, and how to get started. MetaMask Learn",,
MetaMask Swaps,noun,project or product,/ˈmɛtəˌmæsk swɒps/,"Within MetaMask, users have access to a powerful aggregator showing them information about swaps across the ecosystem, this is MetaMask Swaps. Swaps, when capitalized and referring to this product, should be left in English. ",,
MMI,noun,project or product,"/ˌɪnstɪˈtjuːʃənl/, /ˈmɛtəˌmæsk ˌɪnstɪˈtjuːʃənl/, /ˌɛmˌɛmˈaɪ/",Initialism; MetaMask Institutional.,,
Portfolio,noun,project or product,/ˈpɔrtfoʊlioʊ/,"The Portfolio Dapp enables you to view all your MetaMask accounts and their assets in one place. It aggregates values from across your accounts and shows your total holdings, making it easier than ever to get an at-a-glance summary of their value in your chosen currency. Getting started with MetaMask Portfolio ",,
Quorum,noun,project or product,/ˈkwɔrəm/,"ConsenSys Quorum enables enterprises to leverage Ethereum for their high-value blockchain applications. Businesses can rely on the Quorum open-source protocol layer and integrate on top of it product modules from ConsenSys, other companies, or your own in-house development team to build high-performance, customizable applications. Quorum",,
Snaps (MetaMask Snaps),noun,project or product,"/snæps/, /ˈmɛtəˌmæsk snæps/",A program or piece of code that extends the functionality of MetaMask by using the MetaMask Snaps framework.,,
Teku,noun,project or product,/ˈtiːkuː/,,,
Teku,noun,project or product,/ˈtiːkuː/,,,
0x API,noun,project or product,/ˌzɪroʊ ˈɛks ˈeɪ.pi.aɪ/,"The 0x API is the liquidity and data endpoint for DeFi. It lets you access aggregated liquidity from tens of on-chain and off-chain decentralized exchange networks, across multiple blockchains. It comes with many parameters to customize your requests for your application and your users.",,
1inch,noun,project or product,/ˈwʌn ɪntʃ/,Decentralized exchange aggregator that aims to provide traders with the best price and lowest fees on their transactions.,,
3Box Labs,noun,project or product,/ˈθriː bɑks ˈlæbz/,"The inventors and core developers of Ceramic, the first decentralized network for composable data. Ceramic makes it possible for developers to build data-rich Web3 applications without needing a traditional database, and in the process, unlocks data composability and portability across every application within the Web3 ecosystem",,
Aave,noun,project or product,/ˈɑː.veɪ/,Aave is an open source protocol to create non-custodial liquidity markets to earn interest on supplying and borrowing assets with a variable or stable interest rate.,,
Agoric,noun,project or product,/ˈæɡərɪk/,"Agoric is a Proof-of-Stake blockchain that functions as a smart contract platform, enabling developers to deploy decentralized applications. The platform is built on a variant of the JavaScript programming language, which is a widely used language for web development. ",,
AirGap Vault,noun,project or product,/ˈɛrˌɡæp vɔlt/,"AirGap Vault is a crypto wallet application that provides secure storage for digital assets. The wallet is designed to be used in conjunction with AirGap's other wallet app, AirGap Wallet, which is used for sending and receiving transactions. ",,
AirSwap,noun,project or product,/ˈɛrˌswɑp/,"AirSwap is a decentralized exchange (DEX) platform for trading digital assets, operating on Ethereum and Layer-2s like Polygon, Arbitrum.",,
Apple Pay,noun,project or product,/ˈæpəl ˈpeɪ/,"Apple Pay is a mobile payment service by Apple Inc. that allows users to make payments in person, in iOS apps, and on the web.",,
Arbitrum,noun,project or product,/ˈɑrbɪtrəm/,"Arbitrum is a layer 2 scaling solution for Ethereum, designed to improve the scalability and reduce the cost of transactions on the Ethereum network. It is an implementation of the Optimistic Rollup technology, which is a type of scaling solution that uses off-chain computation to reduce the load on the main Ethereum network.",,
Aurora,noun,project or product,/əˈrɔrə/,,,
Avalanche,noun,project or product,/ˈævəˌlæntʃ/,"Avalanche is a decentralized blockchain platform designed to provide fast and secure transactions for digital assets and applications. The platform uses a consensus mechanism known as Avalanche consensus, which allows for high throughput, low latency, and customizable blockchains.",,
AVAX,noun,project or product,/ˈeɪˈvæks/,,,
Axie Infinity,noun,project or product,/ˈæksi ɪnˈfɪnɪti/,"Axie Infinity is a non-fungible token-based online video game known for its in-game economy, which uses Ethereum-based cryptocurrencies.",,
Banxa,noun,project or product,/ˈbæŋksə/,,,
Beacon Chain,noun,project or product,/ˈbiːkən tʃeɪn/,"The Beacon Chain was one element built in the infrastructure being built to scale Ethereum. It was the foundation for a transition from a Proof of Work (PoW) consensus mechanism to Proof of Stake (PoS). For more information, see this guide.",,
Besu,noun,project or product,/ˈbɛsuː/,,,
Binance,noun,project or product,/ˈbaɪnæns/,"Binance is a centralized cryptocurrency exchange which operates in multiple countries, as well as two different blockchains, the BNB Chain and the BNB Smart Chain.",,
bitcoin,noun,project or product,"/ˈbɪtˌkɔɪn/, /ˈbiːˈtiːˈsiː/","Bitcoin is a decentralized digital currency or cryptocurrency, which was created in 2009 by an unknown person or group using the name Satoshi Nakamoto. Bitcoin transactions are recorded on a public digital ledger called the blockchain, which is maintained by a network of computers worldwide. Bitcoin transactions are made directly between users without the need for intermediaries like banks or financial institutions. Users can send and receive bitcoins using digital wallets. One of the key features of Bitcoin is its limited supply. There will only ever be 21 million Bitcoins in existence, which helps to prevent inflation and maintain the value of the currency. When referring to the overall network, capitalization is appropriate (Bitcoin), whereas when referring to the tokens themselves, lower-case is more appropriate (bitcoin). The plural of bitcoin is just bitcoin; the abbreviation is BTC, with a space: I have 250 BTC.  ",,
Bitcoin,noun,project or product,/ˈbɪtkɔɪn/,,,
BNB,noun,project or product,/ˈbiːɛnˈbiː/,,,
BNB Chain,noun,project or product,/ˈbiːˈɛnˈbiː tʃeɪn/,Build N Build (BNB) Chain is a distributed blockchain network upon which developers and innovators can build decentralized applications (DApps) as part of the move to Web3. BNB chain,,
Brave,noun,project or product,/breɪv/,"Brave is a free and open-source web browser developed by Brave Software, Inc., based on the Chromium web browser. It has a built-in crypto wallet that allows users to connect to the web3 ecosystem. ",,
BTC,noun,project or product,/ˈbiːˈtiːˈsiː/,Abbreviation for Bitcoin,,
BTC (bitcoin),noun,project or product,/ˈbiː tiː ˈsiː/ (/ˈbɪtkɔɪn/),,,
Celo,noun,project or product,/ˈsɛloʊ/,Celo is a platform designed to allow mobile users around the world to make simple financial transactions with cryptocurrency. The platform has its own blockchain and two native tokens: CELO and cUSD,,
Chrome,noun,project or product,/kroʊm/,Internet browser.,,
Codefi,noun,project or product,/ˈkoʊdɪfaɪ/,"Derived from “Commerce & Decentralized Finance”, Codefi was a part of Consensys Software Inc., responsible for developing finance use case blockchain products; name no longer in use.",,
Coinbase Pay,noun,project or product,/ˈkɔɪnbeɪs peɪ/,Coinbase Pay is a payment feature that allows you to buy or transfer supported crypto on Coinbase.com directly from self-custody wallets (like MetaMask) and dapps.,,
CoinGecko,noun,project or product,/ˈkɔɪnˌɡɛkoʊ/,,,
Compound,noun,project or product,/ˈkɑmpaʊnd/,"Compound is a decentralized, blockchain-based protocol that allows you to lend and borrow crypto — and have a say in its governance with its native COMP token.",,
CoolWallet,noun,project or product,/ˈkuːlˌwɔlɪt/,"A crypto hardware wallet for Bitcoin, Ethereum, Litecoin, Bitcoin Cash, and ERC20 Token.",,
CryptoCompare,noun,project or product,/ˈkrɪptoʊˌkɒmpær/,,,
Curve,noun,project or product,/kɜrv/,Curve is a decentralized exchange for stablecoins that uses an automated market maker (AMM) to manage liquidity.,,
D'CENT,noun,project or product,/ˈdiːˈsɛnt/,Hardware wallet.,,
DAI,noun,project or product,/daɪ/,DAI is an Ethereum-based stablecoin whose issuance and development is managed by the Maker Protocol and the MakerDAO decentralized autonomous organization.,,
Devcon,noun,project or product,/ˈdɛvkɒn/,This is shorthand for the Ethereum Developers’ Conference.,,
