Term [en-US],Term [ar-001],Term [zh-CN],Term [zh-TW],Term [nl-NL],Term [fr-FR],Term [de-DE],Term [el-GR],Term [ha-NG],Term [hi-IN],Term [hu-HU],Term [id-ID],Term [it-IT],Term [ja-JP],Term [ko-KR],Term [fa-AF],Term [ms-MY],Term [pcm-NG],Term [pl-PL],Term [pt-BR],Term [ro-RO],Term [ru-RU],Term [es-419],Term [tl-PH],Term [th-TH],Term [tr-TR],Term [uk-UA],Term [vi-VN],Term [en-GB]
Kovan,Kovan,Kovan,Kovan,Kovan,Kovan,Kovan,Kovan,Kovan,Kovan,Kovan,Kovan,Kovan,Kovan,Kovan,Kovan,Kovan,Kovan,Kovan,Kovan,Kovan,Kovan,Kovan,Kovan,Kovan,Kovan,Kovan,Kovan,Kovan
KYC,KYC,KYC,KYC,KYC,KYC,KYC,KYC,KYC,KYC,KYC,KYC,KYC,KYC,KYC,KYC,KYC,KYC,KYC,KYC,KYC,ЗСК,KYC,KYC,KYC,KYC,KYC,KYC,KYC
KYT,KYT,KYT,KYT,KYT,KYT,KYT,KYT,KYT,KYT,KYT,KYT,KYT,KYT,KYT,KYT,KYT,KYT,KYT,KYT,KYT,ЗСТ,KYT,KYT,KYT,KYT,KYT,KYT,KYT
Lattice1,Lattice1,Lattice1,Lattice2,Lattice1,Lattice1,Lattice1,Lattice1,Lattice1,Lattice1,Lattice1,Lattice1,Lattice1,Lattice1,Lattice1,Lattice1,Lattice1,Lattice1,Lattice1,Lattice1,Lattice1,Lattice1,Lattice1,Lattice1,Lattice1,Lattice1,Lattice1,Lattice1,Lattice1
Launchpad,منصة الإطلاق,Launchpad,Launchpad,Launchpad,Launchpad,Launchpad,Πλατφόρμα εκκίνησης,Farko na Ethereum,लॉन्चपैड,Launchpad,Launchpad,Launchpad,ローンチパッド,런치패드,لانچ‌پد,Launchpad,Platform wey dey helep new crypto projects sell their coins to the public,Launchpad,Launchpad,Launchpad,Лаунчпад,Launchpad,Launchpad,Launchpad,Launchpad,Панель запуску,Launchpad,Launchpad
layer 1,الطبقة 1,一层公链,第 1 層,laag 1,couche 1,Ebene 1,επίπεδο 1,tsari na farko na blockchain cibiyar sadarwa,लेयर 1,1. réteg,layer 1,layer 1,レイヤー 1,레이어 1,لایه 1,lapisan 1,ground floor layer,warstwa 1,camada 1,layer 1,слой 1,capa 1,layer 1,เลเยอร์ 1,Katman 1,рівень 1,lớp 1,layer 1
layer 2,الطبقة 2,二层公链,第 2 層,laag 2,couche 2,Ebene 2,επίπεδο 2,tsari na biyu na blockchain cibiyar sadarwa,लेयर 2,2. réteg,layer 2,layer 2,レイヤー 2,레이어 2,لایه 2,lapisan 2,extra layer wey dem build on top di main network,warstwa 2,camada 2,layer 2,слой 2,capa 2,layer 2,เลเยอร์ 2,Katman 2,рівень 2,lớp 2,layer 2
Ledger,Ledger,Ledger,Ledger,Ledger,Ledger,Ledger,Ledger,Ledger,Ledger,Ledger,Ledger,Ledger,Ledger,Ledger,Ledger,Ledger,Ledger,Ledger,Ledger,Ledger,Ledger,Ledger,Ledger,Ledger,Ledger,Ledger,Ledger,Ledger
Ledger Live,Ledger Live,Ledger Live,Ledger Live,Ledger Live,Ledger Live,Ledger Live,Ledger Live,Ledger Live,Ledger Live,Ledger Live,Ledger Live,Ledger Live,Ledger Live,Ledger Live,Ledger Live,Ledger Live,Ledger Live,Ledger Live,Ledger Live,Ledger Live,Ledger Live,Ledger Live,Ledger Live,Ledger Live,Ledger Live,Ledger Live,Ledger Live,Ledger Live
Ledger Live App,تطبيق Ledger Live,Ledger Live 应用程序,Ledger Live 應用程式,Ledger Live App,Ledger Live App,Ledger Live App,Ledger Live App,Ledger Live App,Ledger Live ऐप,Ledger Live App,Aplikasi Ledger Live,Ledger Live App,Ledger Liveアプリ,렛저 라이브 앱,برنامه Ledger Live,Aplikasi Ledger Live,Ledger Live App,Aplikacja Ledger Live,Ledger Live App,Aplicația Ledger Live,Приложение Ledger Live,Ledger Live App,Ledger Live App,แอป Ledger Live,Ledger Live Uygulaması,Додаток Ledger Live,Ứng dụng Ledger Live,Ledger Live App
library,المكتبة,软件库,函式庫,bibliotheek,bibliothèque,Bibliothek,βιβλιοθήκη,laburare,लाइब्रेरी,könyvtár,Library,Libreria,ライブラリ,라이브러리,کتابخانه,Perpustakaan,library,Biblioteka,Biblioteca,Bibliotecă,Библиотека,biblioteca,Library,ไลบรารี,kitaplık,бібліотека,thư viện,library
Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido
light client,عقدة بسيطة,轻客户端,輕客戶端,light client,client léger,Light Client,εύκολο πρόγραμμα,abokin Hulɗa Mai Haske,लाइट क्लाइंट,könnyű kliens,klien ringan,client leggero,ライトクライアント,라이트 클라이언트,گیرنده سبک,klien ringan,"small program wey dey connect to blockchain, no be the full thing",Lekki klient,cliente leve,client ușor,легкий клиент,cliente ligero,magaan na kliyente,ไลต์ไคลเอ็นต์,hafif istemci,легкий клієнт,ứng dụng nhẹ,light client
Lightning Network,Lightning Network,Lightning Network,Lightning Network,Lightning Network,Lightning Network,Lightning Network,Lightning Network,Lightning Network,Lightning Network,Lightning Network,Lightning Network,Lightning Network,Lightning Network,Lightning Network,Lightning Network,Rangkaian Kilat,Lightning Network,Lightning Network,Lightning Network,Lightning Network,Lightning Network,Lightning Network,Lightning Network,Lightning Network,Lightning Network,Lightning Network,Lightning Network,Lightning Network
Linea,Linea,Linea,Linea,Linea,Linea,Linea,Linea,Linea,Linea,Linea,Linea,Linea,Linea,Linea,Linea,Linea,Linea,Linea,Linea,Linea,Linea,Linea,Linea,Linea,Linea,Linea,Linea,Linea
liquidation,تصفية,清算,清算,liquidatie,liquidation,Liquidation,Ρευστοποίηση,asarar kasuwa,लिक्विडेशन,likvidáció,likuidasi,liquidazione,清算,청산,لیکوئید شدن,pembubaran,when your crypto value fall too much and dem sell am off to pay back loan,likwidacja,liquidação,lichidare,ликвидность,liquidación,liquidation,การชำระบัญชี,likidasyon,ліквідація,thanh lý,liquidation
liquidity,السيولة,流动性,流動性,liquiditeit,liquidités,Liquidität,ρευστότητα,saukin juya zu kuɗi,लिक्विडिटी,likviditás,likuiditas,liquidità,流動性,유동성,نقدشوندگی,kecairan,"how easy it be to buy and sell crypto, like how fast you fit change am to cash",Płynność,liquidez,lichiditate,ликвидность,liquidez,liquidity,สภาพคล่อง,likidite,ліквідність,thanh khoản,liquidity
liquidity pool,تجمع السيولة,流动性池,流動性池,liquiditeitspool,pool de liquidités,Liquiditätspool,δεξαμενή ρευστότητας,asusu na ciniki,लिक्विडिटी पूल,likviditási pool,pool likuiditas,pool di liquidità,流動性プール,유동성 풀,استخر نقدینگی,kolam kecairan,tradin moni pot,Pula płynności,pool de liquidez,pool de lichidități,пул ликвидности,fondo de liquidez,pool ng liquidity,พูลสภาพคล่อง,likidite havuzu,пул ліквідності,bể thanh khoản,liquidity pool
liquidity staking,ربط السيولة,流动性质押,流動性質押,liquiditeit staken,staking liquide,Liquiditätsstaking,ρευστότητα μεριδίου,Sanya saukin juya zu kuɗi,लिक्विडिटी स्टेकिंग,likviditási részesedés,staking likuiditas,staking di liquidità,流動性ステーキング,유동성 스테이킹,سپرده‌گذاری نقدشونده,staking kecairan,stake moni for tradin moni pot,Liquidity staking,staking de liquidez,staking de lichidități,стейкинг ликвидности,staking de liquidez,pagtaya ng liquidity,ฝากสภาพคล่อง,likidite staking,ліквідний стекінг,ký gửi thanh khoản,liquidity staking
mainnet,شبكة رئيسية (mainnet),主网,主網,mainnet,réseau principal Ethereum (mainnet),Mainnet,mainnet,mainnet,मेननेट (mainnet),főháló,mainnet,mainnet,メインネット,메인넷,شبکه اصلی,mainnet,di real blockchain network where real transactions dey happen,Mainnet,mainnet,mainnet,мейн-нет,red principal,mainnet,เครือข่ายหลัก,ana ağ,основна мережа,mạng chính,mainnet
Maker Protocol,بروتوكول Maker,稳定币协议,Maker協議,Maker Protocol,Protocole Maker,Maker-Protokoll,Πρωτόκολλο προγραμματιστή,Maker Protocol,मेकर प्रोटोकॉल,Maker Protokoll,Protokol Maker,Maker Protocol,Makerプロトコル,메이커 프로토콜,پروتکل‌ میکر,Protokol Maker,Maker Protocol,Protokół Maker,Maker Protocol,Protocolul Maker,Протокол Maker,Protocolo Maker,Maker Protocol,Maker Protocol,Maker Protokolü,Протокол Maker,Giao thức Maker,Maker Protocol
malware,برمجيات خبيثة,恶意软件,惡意軟體,malware,programme malveillant,Malware,κακόβουλο λογισμικό,malware,मालवेयर,rosszindulatú,Malware,Malware,マルウェア,맬웨어,بدافزار,Perisian Hasad,computer virus,Złośliwe oprogramowanie,malware,malware,Вредоносное программное обеспечение,software malicioso,malware,มัลแวร์,kötü amaçlı yazılım,шкідливе програмне забезпечення,phần mềm độc hại,malware
market cap,القيمة السوقية,市值,市值,marktkapitalisatie,capitalisation boursière,Marktkapitalisierung,επιχειρηματικά κεφάλαια,darajar kasuwa,मार्केट कैप,tőkepiac,kap pasar,capitalizzazione di mercato,時価総額,시가 총액,ارزش بازار,modal pasaran,how big di market be,Kapitalizacja rynkowa,capitalização de mercado,capitalizarea pieței,рыночная капитализация,capitalización bursátil,market cap,มูลค่าตลาด,piyasa değeri,ринкова капіталізація,vốn hóa thị trường,market cap
MATIC,MATIC,MATIC,MATIC,MATIC,MATIC,MATIC,MATIC,MATIC,MATIC,MATIC,MATIC,MATIC,MATIC,MATIC,MATIC,MATIC,MATIC,MATIC,MATIC,MATIC,MATIC,MATIC,MATIC,MATIC,MATIC,MATIC,MATIC,MATIC
memory pool,تجمع المعاملات,内存池,記憶體池,memory pool,pool de stockage des transactions,Memory Pool,Λίστα εκκρεμών συναλλαγών,jerin jiran ma'amaloli,मेमोरी पूल,memóriatár,pool memori,pool di memoria,メモリープール,메모리 풀,استخر حافظه,kolam memori,payment waiting list,pula pamięci,pool de memória,pool de memorie,пул памяти,cola de transacciones,memory pool,พูลเมมโมรี่,bellek havuzu,пул пам'яті,bể ghi nhớ giao dịch,memory pool
mempool,mempool,mempool,記憶池,mempool,mempool,Mempool,mempool,jerin jiran ma'amaloli,mempool,mempool,mempool,Mempool,メムプール,멤풀,ممپول,mempool,payment waiting list,mempool,mempool,mempool,мемпул,Mempool,Mempool,เมมพูล,mempool,мемпул,bể nhớ giao dịch,mempool
Mercuryo,Mercuryo,Mercuryo,Mercuryo,Mercuryo,Mercuryo,Mercuryo,Mercuryo,Mercuryo,Mercuryo,Mercuryo,Mercuryo,Mercuryo,Mercuryo,Mercuryo,Mercuryo,Mercuryo,Mercuryo,Mercuryo,Mercuryo,Mercuryo,Mercuryo,Mercuryo,Mercuryo,Mercuryo,Mercuryo,Mercuryo,Mercuryo,Mercuryo
Merge,دمج,合并,合併,Merge,Fusion,Merge,Συγχώνευση,Haɗawa,मर्ज,egyesítés,Merge,Unisci,「マージ」,병합,ادغام,Penggabungan,Merge,Merge,Fusão,Fuziune,Слияние,Fusión,Merge,เมิร์ช,Birleştirme,Злиття,Hợp nhất,Merge
Merkle Patricia trie,ميركل باتريشيا تري,梅克尔树,梅克爾樹,Merkle Patricia-trie,Arbre de Merkle,Merkle Patricia-Trie,Merkle Patricia trie,Merkle Patricia Trie,मर्कल पेट्रीसिया ट्राई,Merkle Patricia trie,Merkle Patricia trie,Trie di Patricia Merkle,マークルパトリシアツリー,머클패트리샤트리,درخت مرکل پاتریشیا,Merkle Patricia trie,Special Data Structure,Drzewo Merkle,Merkle Patricia trie,Arborele Merkle Patricia,Дерево Меркла,árbol de Merkle Patricia trie,Merkle Patricia trie,ต้นไม้ Merkle Patricia,Merkle Patricia trie,Merkle Patricia trie,Cây Merkle Patricia,Merkle Patricia trie
Mesh,Mesh,Mesh,Mesh,Mesh,Mesh,Mesh,Mesh,Mesh,Mesh,háló,Mesh,Mesh,Mesh,Mesh,Mesh,Mesh,Mesh Network,Mesh,Mesh,Mesh,Mesh,Mesh,Mesh,Mesh,Mesh,Mesh,Mesh,Mesh
metadata,البيانات الوصفية,元数据,詮釋資料,metadata,métadonnées,Metadaten,Μεταδεδομένα,tarin bayani meta,मेटाडाटा,metaadat,metadata,Metadati,メタデータ,메타데이터,فراداده,metadata,extra Information,metadane,metadados,metadate,метаданные,metadatos,metadata,ข้อมูลเมต้า,Meta veri,метадані,metadata,metadata
MetaMask,MetaMask,MetaMask,MetaMask,MetaMask,MetaMask,MetaMask,MetaMask,MetaMask,MetaMask,MetaMask,MetaMask,MetaMask,MetaMask,MetaMask,MetaMask,MetaMask,MetaMask,MetaMask,MetaMask,MetaMask,MetaMask,MetaMask,MetaMask,MetaMask,MetaMask,MetaMask,MetaMask,MetaMask
MetaMask Flask,MetaMask Flask,MetaMask Flask,MetaMask Flask,MetaMask Flask,Metamask Flask,MetaMask Flask,MetaMask Flask,MetaMask Flask,MetaMask Flask,MetaMask Flask,MetaMask Flask,MetaMask Flask,MetaMask Flask,MetaMask Flask,MetaMask Flask,MetaMask Flask,MetaMask Flask,MetaMask Flask,MetaMask Flask,MetaMask Flask,MetaMask Flask,MetaMask Flask,MetaMask Flask,MetaMask Flask,MetaMask Flask,MetaMask Flask,MetaMask Flask,MetaMask Flask
MetaMask Institutional,MetaMask Institutional,MetaMask Institutional,MetaMask Institutional,MetaMask Institutional,Metamask Institutional,MetaMask Institutional,MetaMask Institutional,MetaMask Institutional,MetaMask Institutional,MetaMask Institutional,MetaMask Institutional,MetaMask Institutional,MetaMask Institutional,MetaMask Institutional,MetaMask Institutional,MetaMask Institutional,MetaMask Institutional,MetaMask Institutional,MetaMask Institutional,MetaMask Institutional,MetaMask Institutional,MetaMask Institutional,MetaMask Institutional,MetaMask Institutional,MetaMask Institutional,MetaMask Institutional,MetaMask Institutional,MetaMask Institutional
MetaMask Learn,MetaMask Learn,MetaMask Learn,MetaMask Learn,MetaMask Learn,Metamask Learn,MetaMask Learn,MetaMask Learn,MetaMask Learn,MetaMask Learn,MetaMask Learn,MetaMask Learn,MetaMask Learn,MetaMask Learn,MetaMask Learn,MetaMask Learn,MetaMask Learn,MetaMask Learn,MetaMask Learn,MetaMask Learn,MetaMask Learn,MetaMask Learn,MetaMask Learn,MetaMask Learn,MetaMask Learn,MetaMask Learn,MetaMask Learn,MetaMask Learn,MetaMask Learn
MetaMask Swaps,MetaMask Swaps,MetaMask Swaps,MetaMask Swaps,MetaMask Swaps,MetaMask Swaps,MetaMask Swaps,MetaMask Swaps,MetaMask Swaps,MetaMask Swaps,MetaMask Swaps,MetaMask Swaps,MetaMask Swaps,MetaMask Swaps,MetaMask Swaps,MetaMask Swaps,MetaMask Swaps,MetaMask Swaps,MetaMask Swaps,MetaMask Swaps,MetaMask Swaps,MetaMask Swaps,MetaMask Swaps,MetaMask Swaps,MetaMask Swaps,MetaMask Swaps,MetaMask Swaps,MetaMask Swaps,MetaMask Swaps
metaverse,ميتافرس,元宇宙,元宇宙,metaverse,métavers,Metaverse,metaverse,metaverse,metaverse,metaverzum,metaverse,metaverso,メタバース,메타버스,متاورس,metaverse,Virtual world,Metawersum,metaverso,metavers,метавселенная,metaverso,metaverse,เมตาเวิร์ส,metaverse,метавсесвіт,vũ trụ ảo,metaverse
MEV,القيمة القصوى القابلة للاستخراج (MEV),最大可提取价值（MEV）,最大可提取價值,MEV (maximal extractable value),Valeur extractible maximum (MEV),MEV,Μέγιστη εξαγώγιμη αξία (MEV),Matsakaicin Darajar da za a Fitar,MEV,MKE (maximális kinyerhető érték),MEV,MEV,MEV,MEV,MEV,MEV,Highest Value wey Person Fit Get for Trade,MEV,MEV,MEV,максимальная извлекаемая ценность,Valor máximo extraíble,MEV,มูลค่าที่สกัดได้สูงสุด,Maksimal Çıkarılabilir Değer,Максимальна вилучена цінність,MEV,MEV
MFA,المصادقة متعددة العوامل (MFA),多因素验证（MFA）,多重要素驗證 (MFA),MFA,MFA,MFA,MFA,Tabbatarwa ta hanyoyi da dama,MFA,többlépcsős hitelesítés,MFA,MFA,MFA,MFA,MFA,MFA,Double-double verification,MFA,MFA,MFA,МФА,MFA,MFA,MFA,MFA,MFA,MFA,MFA
miner,المُعدِّن,矿工,礦工,miner,mineur,Miner,λογισμικό εξόρυξης κρυπτονομισμάτων,mai hakar ma'adinai,माइनर (miner),bányász,penambang,miner,マイナー,채굴기,استخراج‌کننده,pelombong,person wey dey confirm transactions,Górnik,minerador,miner,майнер,minero,minero,นักขุด,madenci,майнер,thợ đào,miner
miner tip,إكرامية المُعدنّ,矿工费,礦工小費,miner tip,pourboire du mineur,Miner Tip,φιλοδώρημα miner,kudin haƙowa,माइनर (miner) टिप,bányász tipp,tip penambang,mancia per i miner,マイナーチップ,채굴기 팁,انعام ماینر,bayaran pelombong,Miner reward,napiwek dla górnika/walidatora,gorjeta do minerador,miner tip,«Чаевые» майнеру,propina del minero,tip ng minero,ทิปนักขุด,madenci bahşişi,чайові майнеру,tiền thưởng cho thợ đào,miner tip
mining,التعدين,挖矿,挖礦,mining,minage,Mining,εξόρυξη,haƙowa,माइनिंग,bányászás,penambangan,mining,マイニング,채굴,استخراج,melombong,crypto mining,Kopanie kryptowalut,mineração,minare,майнинг,minería,pagmimina,การขุด,madencilik,майнінг,đào,mining
mint,سكّ,铸币,鑄造,minten,minter,Prägung,μηχανισμός δημιουργίας κρυπτονομισμάτων,ƙirƙira sabon tokens,मिंट,pénzverés,cetak,Mint,ミント,민트,ضرب کردن,mint,create new crypto,minting / mintowanie,cunhagem,mint,выполнить минтинг,acuñar,mint,สร้าง,mint,мінт,đúc,mint
mnemonic phrase,عبارة التذكر,助记词,助記詞,mnemonic phrase,phrase mnémotechnique,Mnemonische Phrase,μνημονική φράση,kalmar sirri,नेमोनिक फ्रेज़,mnemonikus szókapcsolat,frasa mnemonik,frase mnemonica,ニーモニックフレーズ,니모닉 구문,عبارت یادآور,frasa mnemonik,secret group of words wey you fit use recover your crypto wallet,Mnemonic phrase,frase mnemônica,frază mnemotehnică,мнемоническая фраза,frase mnemotécnica,mnemonic na parirala,วลีช่วยจำ,anımsatıcı ifade,мнемонічна фраза,cụm từ ghi nhớ,mnemonic phrase
MobiKwik,MobiKwik,MobiKwik,MobiKwik,MobiKwik,MobiKwik,MobiKwik,MobiKwik,MobiKwik,MobiKwik,MobiKwik,MobiKwik,MobiKwik,MobiKwik,MobiKwik,MobiKwik,MobiKwik,MobiKwik,MobiKwik,MobiKwik,MobiKwik,MobiKwik,MobiKwik,MobiKwik,MobiKwik,MobiKwik,MobiKwik,MobiKwik,MobiKwik
modular blockchain,بلوكتشين قائم على نظام الوحدات,模块化区块链,模塊化區塊鏈,modulaire blockchain,blockchain modulaire / Chaîne de blocs modulaire,Modulare Blockchain,τμηματοποιημένη αλυσίδα,mai sassauƙa na blockchain,मॉड्यूलर ब्लॉकचेन,moduláris blokklánc,blockchain modular,blockchain modulare,モジュラー型ブロックチェーン,모듈형 블록체인,بلاک‌چین مدولار,rantaian blok modular,blockchain wey dem break into pieces,Blockchain modułowy,blockchain modular,blockchain modular,модульный блокчейн,cadena de bloques modular,modular na blockchain,บล็อกเชนแยกส่วน,modüler blokzinciri,модульний блокчейн,chuỗi khối mô-đun,modular blockchain
MoonPay,MoonPay,MoonPay,MoonPay,MoonPay,MoonPay,MoonPay,MoonPay,MoonPay,MoonPay,MoonPay,MoonPay,MoonPay,MoonPay,MoonPay,MoonPay,MoonPay,MoonPay,MoonPay,MoonPay,MoonPay,MoonPay,MoonPay,MoonPay,MoonPay,MoonPay,MoonPay,MoonPay,MoonPay
multi-sig,متعددة التوقيع,多重签名,多簽錢包,multi-sig,Multisig,Multi-Sig,Πολλαπλών υπογραφών,walat mai sa hannu multiple,multi-sig,több aláírású,multi-sig,multi-sig,マルチシグ,다중서명,چند امضایی,multi-sig,multi-signature,Multisig,multisig,multi-sig,multi-sig,multifirma,multi-sig,แบบหลายลายเซ็น,çoklu imza,мультипідпис,đa chữ ký,multi-sig
multi-signature wallet,محفظة متعددة التوقيع (multisig),多重签名钱包（multisig）,多簽錢包,multi-signature wallet (multisig),portefeuille multi-signature (Multisig),Multi-Signatur-Wallet,πορτοφόλι πολλαπλών υπογραφών (multisig),walat mai sa hannu multiple,मल्टी-सिग्नेचर वॉलेट,több aláírású tárca,dompet multitanda tangan,portafoglio multi-firma,マルチシグウォレット,다중서명지갑,کیف پول چند امضایی,dompet berbilang tandatangan,wallet wey need multiple approvals,portfel multi-signature (multisig),carteira multiassinatura,portofel multisemnătură,кошелек с мультиподписью,monadero multifirma,multi-signature na wallet,วอลเล็ตหลายลายเซ็น,çoklu imza cüzdanı,гаманець з мультипідписом (multisig),ví đa chữ ký,multi-signature wallet
nested blockchain,بلوكتشين متداخل,嵌套区块链,巢狀區塊鏈,nested blockchain,blockchain imbriquée / chaîne de blocs imbriquée,Verschachtelte Blockchain,αλυσίδες μπλοκ δυο επιπέδων,blockchain a cikin wani blockchain,नेस्टेड ब्लॉकचेन,beágyazott blokklánc,nested blockchain,Nested Blockchain,ネストされたブロックチェーン,중첩블록체인,بلاک‌چین تودرتو,rantaian blok bersarang,blockchain inside another blockchain,blockchain zagnieżdżony,blockchain aninhada,nested blockchain,вложенный блокчейн,cadena de bloques anidada,nested na blockchain,บล็อกเชนย่อย,nested (İç İçe) blokzincir,вкладений блокчейн,chuỗi khối lồng nhau,nested blockchain
network,شبكة,网络,網路,netwerk,réseau,Netzwerk,δίκτυο,cibiyar sadarwa,नेटवर्क,hálózat,jaringan,Rete,ネットワーク,네트워크,شبکه,rangkaian,network,sieć,rede,rețea,сеть,red,network,เครือข่าย,ağ,мережа,mạng,network
network congestion,ازدحام الشبكة,网络拥塞,網路壅塞,netwerkcongestie,congestion de réseau,Netzwerküberlastung,συμφόρηση δικτύου,cunkoson cibiyar sadarwa,नेटवर्क कंजेस्शन,hálózati torlódás,kemacetan jaringan,Congestione della rete,ネットワークの輻輳,네트워크 정체,ازدحام شبکه,kesesakan rangkaian,network overload,przeciążenie sieci,congestionamento de rede,congestionarea rețelei,перегрузка сети,congestión de red,pagsisikip ng network,ความแออัดของเครือข่าย,ağ tıkanıklığı,перевантаження мережі,nghẽn mạng,network congestion
NFC,خاصية الاتصال قريب المدى (NFC),近距离无线通讯（NFC）,近距離無線通訊,NFC (near-field communication),Communication en champ proche (NFC),NFC,Επικοινωνία κοντινού πεδίου (NFC),Sadarwa ta Kusa,NFC,NFC,NFC,NFC,NFC,근거리 무선 통신,NFC,NFC,Tap and Pay Technology,NFC,NFC,NFC,Технология ближней бесконтактной связи,comunicación de campo cercano,NFC,การสื่อสารไร้สายระยะใกล้,Yakın Alan İletişimi,Комунікація ближнього поля,NFC,NFC
NFT,NFT,NFT,NFT,NFT,NFT,NFT,NFT,NFT,NFT,NFT,NFT,NFT,NFT,NFT,NFT,NFT,NFT,NFT,NFT,NFT,NFT,NFT,NFT,NFT,NFT,NFT,NFT,NFT
NFT aggregator,مُجمِعّ NFT,NFT 聚合器,NFT 聚合器,NFT-aggregator,Agrégateur NFT,NFT-Aggregator,Συγκέντρωση NFT,Mai tattara NFT,NFT एग्रीगेटर,NFT-aggregátor,agregator NFT,aggregatore NFT,NFTアグリゲーター,NFT 애그리게이터,تجمیع‌کننده ان‌اف‌تی,Agregator NFT,one big marketplace for all your digital art,Agregator NFT,Agregador de NFTs,Agregator NFT,NFT-агрегатор,agregador de NFT,NFT aggregator,ผู้รวบรวม NFT,NFT toplayıcı,NFT-агрегатор,Nền tảng giao dịch NFT,NFT aggregator
NFT drop,توزيع NFT,NFT 投放,NFT 投放,NFT-drop,Mise en vente de NFT,NFT-Drop,Μείωση NFT,Fitar NFT,NFT ड्रॉप,NFT csepp,NFT drop,NFT drop,NFTドロップ,NFT 하락,ایردراپ ان‌اف‌تی,NFT drop,NFT Release,Drop / zrzut NFT,Drop de NFTs,NFT drop,NFT-дроп,drop de NFT,Paglaglag ng NFT,การปล่อยผลงาน NFT,NFT drop,NFT-дроп,Tặng NFT,NFT drop
Ngrave,Ngrave,Ngrave,Ngrave,Ngrave,Ngrave,Ngrave,Ngrave,Ngrave,Ngrave,Ngrave,Ngrave,Ngrave,Ngrave,Ngrave,Ngrave,Ngrave,Ngrave,Ngrave,Ngrave,Ngrave,Ngrave,Ngrave,Ngrave,Ngrave,Ngrave,Ngrave,Ngrave,Ngrave
node,عقدة,节点,節點,node,nœud,Node,κόμβος,nodo,नोड,csomópont,node,nodo,ノード,노드,گره,nod,part of di Network,Węzeł,nó,nod,узел,nodo,node,โหนด,düğüm,вузол,nút,node
non-fungible token,رمز غير قابل للاستبدال,非同质化代币,非同質化代幣,non-fungible token,jeton non fongible,Non-Fungible Token,Μη Εναλλάξιμα Κρυπτοπαραστατικά,kadarori marar musanya,नॉन-फंजिबिल टोकन,nem helyettesíthető token,non-fungible token,non-fungible token,非代替性トークン,대체불가토큰,توکن بی‌همتا,token tidak sepiawai,unique digital asset wey no get copy,niewymienny token,token não fungível,token nefungibil,невзаимозаменяемый токен,token no fungible,non-fungible token,โทเค็นที่ไม่สามารถทดแทนได้,nitelikli fikri tapu,невзаємозамінний токен,mã thông báo không thể thay thế,non-fungible token
nonce,الرقم التعريفي,唯一交易标识号,僅使用一次的數字,nonce,nonce,Nonce,αριθμολέξημα,nonce,नोन्स,nonce,nonce,nonce,ナンス,논스,نانس,nonce,specialnumber for security,Nonce,nonce,nonce,одноразовый код,nonce,nonce,นอนซ์,nonce,одноразовий номер,số nonce,nonce
off-chain,خارج البلوكتشين,链下,鏈下,off-chain,Hors chaîne,Off-Chain,εκτός αλυσίδας,ma'amala a waje da cibiyar sadarwa,ऑफ-चेन,láncon kívüli,off-chain,off-chain,オフチェーン,오프체인,برون زنجیره‌ای,luar rantaian,outside the Main Blockchain,Transakcje off-chain (poza łańcuchem),fora da rede,off-chain,оффчейн,fuera de cadena,wala sa chain,ออฟเชน,zincir dışı,офчейн-транзакція,ngoài chuỗi,off-chain
off-ramp,تحويل أصل رقمي إلى عملة عادية,充值，提现,出金,off-ramp,off-ramp,Off-Ramp,εκτός εφαρμογών,sauya crypto zuwa kuɗi na duniya,ऑफ-रैंप,off-ramp,off-ramp,off-ramp,オフランプ,오프램프,مسیر خروجی,off-ramp,way to buy and sell crypto,usługi off-ramp,off-ramp,off-ramp,офф-рэмп,rampa de salida,wala sa rampa,แลกออก,off-ramp,оф-ремп,chuyển đổi ngược,off-ramp
ommer block,كتلة ommer,ommer 区块,叔塊,ommerblock,bloc ommer,Ommer Block,ommer block,omma block,ओमेर (ommer) ब्लॉक,ommer blokk,block ommer,ommer block,オマーブロック,오머 블록,بلاک اومر,ommer block,block wey get created temporarily but no dey included in the main chain,Ommer,bloco ommer,bloc ommer,блок оммер,bloque ommer,ommer block,ออมเมอร์บล็อก,ommer blok,оммер-блок,khối ommer,ommer block
on-chain,على البلوكتشين,链上,鏈上,on-chain,sur la chaîne/sur la blockchaîne,On-Chain,εντός αλυσίδας,ma'amala a ciki cibiyar sadarwa,ऑन-चेन,láncon belül,on-chain,on-chain,オンチェーン,온체인,درون زنجیره‌ای,dalam rantaian,for the main blockchain network,Transakcje on-chain (w łańcuchu),na rede,on-chain,ончейн,en cadena,nasa chain,ออนเชน,zincir içi,ончейн-транзакція,trên chuỗi,on-chain
